,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
172,South Dakota St.,107.26,108.1,0.478,4–7,4,11,50.8,50.4,34.4,37.3,17.3,17.2,29.2,27.2,68.7,52.1,52.9,32.7,31.7,6.4,9.6,53.4,53.9,42.2,47.1,68.995,76.671,80.513,1.45,"2,026",0,0,9.113,,70.5,72.8,1.05,1.053,15.733,South Dakota St.
173,Incarnate Word,112.758,113.654,0.477,3–6,3,9,51.1,57.1,37.3,50.5,15.2,16.5,32,29.9,66.6,49.1,59.9,36.2,34.7,6.5,9.3,46.8,54.1,38,36.4,66.209,76.546,79.853,2.395,"2,026",0,0,0.2,,68.7,75.4,1.114,1.166,23.419,Incarnate Word
174,Cornell,115.471,116.576,0.473,5–5,5,10,59.6,55.3,32,37,17.3,15.6,29.2,30.2,73.1,57,55.5,41.4,36.6,6.8,8.3,66.3,48.7,51.5,37,73.565,75.926,77.683,2.344,"2,026",0,0,4.072,,71.7,68.5,1.174,1.152,14.362,Cornell
175,Mercer,107.964,109.069,0.471,5–5,5,10,50.9,52.7,33.7,28.6,15.6,17.7,28.9,34.9,71.2,51.9,52.7,32.9,35.1,7.8,8.8,47.2,49.7,40.5,39.2,70.936,77.095,80.055,1.985,"2,026",0,0,8.913,,71.2,70.2,1.075,1.116,26.11,Mercer
176,Marshall,107.321,108.646,0.465,7–5,7,12,53.4,47.9,28.8,40.4,19.2,16.1,33.2,32.1,71.5,54.6,46.8,34.6,33.1,15.3,7.6,59.8,51.1,46,39.1,70.187,77.776,82.837,2.56,"2,026",0,0,6.863,,75.7,70.6,1.09,1.072,15.829,Marshall
177,Saint Joseph's,103.707,105.014,0.464,6–4,6,10,46.5,48.1,34.4,32.9,17.7,16.1,35.1,32.3,70.1,50.7,47.7,27.6,32.7,12.7,13.4,60.8,49.2,44.8,34,69.312,77.186,80.236,1.583,"2,026",0,0,47.548,,77,65.7,1.036,1.043,13.45,Saint Joseph's
178,Portland St.,102.163,103.451,0.464,3–5,3,8,51.1,48.2,34.3,46.4,20.5,20,31.3,31.7,70.7,51.4,50,33.7,29.9,11.4,8.2,53.1,52.4,36.1,34.7,69.764,78.11,80.738,2.268,"2,026",0,0,1.087,,67.1,78.6,1.019,1.043,18.433,Portland St.
179,Charlotte,109.948,111.368,0.463,5–7,5,12,51.7,52.1,37.7,42,18.2,16,36.4,30.2,64,50.1,52.1,35.9,34.7,11.9,7.8,52.4,52.1,43.5,41.5,63.586,78.507,82.168,2.157,"2,026",0,0,13.471,,68.7,67.2,1.101,1.102,13.654,Charlotte
180,Towson,105.343,106.712,0.463,5–5,5,10,46.1,52.3,27.7,28.4,17.4,14.8,37.9,26.8,63.6,49.9,57.1,26.2,30.5,9.3,7.7,35.2,44.5,35.7,41.8,63.498,78.188,80.985,2.292,"2,026",0,0,1.039,,66.3,69.6,1.023,1.089,28.693,Towson
181,Fordham,105.725,107.356,0.456,5–4,5,9,51.2,47.2,23.2,23.4,16.1,15.6,35.6,26.1,65,55.1,45.5,29.6,33.2,9.1,7.6,51.6,59.2,36.7,41,64.537,77.293,81.059,2.165,"2,026",0,0,5.588,,67.5,70.5,1.094,0.99,4.738,Fordham
182,Fresno St.,105.383,107.059,0.455,5–6,5,11,51.9,52.6,32.7,32,19.1,20.7,30.6,30.1,71.2,54.8,58,32,30.1,5.9,11.8,52.7,50.7,42.1,42,68.871,77.705,81.215,1.349,"2,026",0,0,5.85,,73,71.2,1.053,1.046,14.123,Fresno St.
183,UC Davis,107.973,109.734,0.454,5–5,5,10,54,52.4,38.3,39.1,18.9,19.5,25,33.9,70.3,58.4,51.5,31.9,36,7.8,10,56.5,54.4,41.7,37.2,69.79,76.756,80.305,1.401,"2,026",0,0,18.193,,76.2,74.7,1.071,1.096,19.69,UC Davis
184,Abilene Christian,103.7,105.44,0.452,4–5,4,9,45.4,56.2,35.5,65.4,21.4,21.6,35.4,29.3,67.4,42.9,54.9,33.7,39,10.3,12.4,55.2,55.6,32.9,34.8,66.365,77.498,80.23,2.196,"2,026",0,0,11.617,,70.4,70.8,0.963,1.096,25.887,Abilene Christian
185,Buffalo,111.6,113.597,0.449,9–2,9,11,55.5,51.5,49.6,30.8,14.9,17.8,28.4,31.8,66.3,54.3,53.6,38,32.6,8.6,8.3,50.7,59.6,45.8,44.6,66.953,76.065,79.655,2.233,"2,026",0,0,31.595,,74.7,76.2,1.179,1.085,6.68,Buffalo
186,Vermont,113.049,115.221,0.446,6–6,6,12,54.3,54.1,30.8,38.6,14.8,13.6,26.2,24.5,65.5,58,54.2,33.3,36,6.1,8.9,48.6,49,46.1,41.2,66.12,77.567,80.461,1.852,"2,026",0,0,7.486,,76.8,72.1,1.128,1.133,11.15,Vermont
187,Southern Miss,107.642,109.719,0.445,5–6,5,11,50,52.6,41.8,40.9,17.9,18.4,34.1,29.5,68.5,52.9,49.9,28.5,37.5,10.4,9.2,45.1,55.7,28.5,43.5,67.512,77.773,79.81,2.14,"2,026",0,0,2.764,,73.3,72.1,1.075,1.086,14.973,Southern Miss
188,Idaho St.,108.647,110.756,0.445,4–6,4,10,54.2,50.7,38.8,33.1,19.8,17.5,35,34.8,66.1,54.3,54.8,36.1,29,10.2,9.6,53.3,50.6,47.2,36.8,63.883,77.565,80.23,2.188,"2,026",0,0,0.2,,74.4,77.8,1.108,1.097,20.402,Idaho St.
189,Tarleton St.,105.632,107.79,0.442,5–4,5,9,51.9,55.4,41.9,44.9,21.8,24.4,33.9,33.2,72.8,50.5,57.5,37,35.2,9.8,10.8,46.2,57.5,27.2,43.6,71.433,75.906,78.353,1.968,"2,026",0,0,15.798,,77.5,69.4,1.056,1.058,24.263,Tarleton St.
190,Florida Gulf Coast,110.013,112.485,0.436,4–7,4,11,52.3,54.4,30.3,44.4,16.6,17.5,33.8,32.6,72.1,51.1,56,36,35,8.4,11.2,52.2,45.8,38.3,45.9,70.579,77.235,79.975,1.708,"2,026",0,0,22.179,,74,76.8,1.11,1.162,19.174,Florida Gulf Coast
191,Rutgers,105.581,108.487,0.423,6–6,6,12,46.8,51.3,41.2,26.3,17.3,17.6,33.4,34.4,67.1,45.3,49.6,33,36.1,9.6,9.8,46.2,54.7,33.9,37.4,66.645,77.611,80.61,1.237,"2,026",0,0,38.052,,69.5,72,1.028,1.084,26.18,Rutgers
192,Louisiana Tech,100.319,103.211,0.419,4–4,4,8,45,45.1,29.3,34.3,18.7,17.6,37.1,29.1,64.7,49.5,50.4,23.3,26.1,14.3,10.5,42.6,52.9,31,47.4,64.166,77.772,80.066,1.878,"2,026",0,0,27.1,,65.2,71.3,0.992,0.967,10.103,Louisiana Tech
193,UT Arlington,101.475,104.433,0.418,5–4,5,9,48.4,47.7,39.2,43.9,22.7,19.1,35,29,67.6,51.7,51.9,27.7,26.1,10.2,9.5,47.4,51.2,32.3,32.6,66.205,76.607,79.977,1.412,"2,026",0,0,21.956,,69.1,73,0.978,1.008,16.661,UT Arlington
194,Ohio,107.54,110.764,0.416,4–7,4,11,49.6,52.9,36.7,31.9,17.3,17.7,29.8,35.2,70.5,54.6,52,27.7,36.4,6.8,9.1,43.8,50.5,38.1,37.3,69.868,76.826,79.779,2.166,"2,026",0,0,7.892,,67.5,75,1.034,1.122,21.297,Ohio
195,Illinois Chicago,106.847,110.194,0.412,3–8,3,11,46.9,51.5,39.7,37.9,18.8,20.1,38.4,38.7,68.3,48.2,52.2,29.9,33.8,14.2,11,50.4,64.9,37.4,45.9,68.05,77.225,79.704,1.52,"2,026",0,0,7.958,,76.4,75.2,1.068,1.105,15.708,Illinois Chicago
196,Cal St. Northridge,107.689,111.064,0.412,5–5,5,10,49.4,52.5,31.9,33.3,18.8,15.7,33,29,73.3,50.6,53.9,31.6,34,6,12.1,55.1,54.7,35.7,48.5,74.024,77.161,79.151,2.56,"2,026",0,0,29.163,,68.7,77.7,1.038,1.105,12.985,Cal St. Northridge
197,Montana,107.19,110.736,0.408,3–6,3,9,54.7,52.1,37.8,31.5,20.9,14.3,23.6,33.7,74.4,53.9,54.8,37.2,31.2,7,11.3,57.6,48.9,42.3,34,70.487,76.962,79.192,1.711,"2,026",0,0,3.198,,72.9,72.1,1.039,1.142,24.147,Montana
198,Tulane,109.188,112.937,0.404,8–4,8,12,49.4,53,48.6,35.2,14.6,17.5,22.8,34.8,67,53.8,50.6,28.9,37.4,13.9,8.7,51.4,58.3,42.3,43.2,66.425,77.355,79.209,1.947,"2,026",0,0,51.397,,77.4,67.1,1.071,1.115,10.647,Tulane
199,James Madison,110.833,114.643,0.404,6–6,6,12,52.7,50.7,35.6,47,16.2,14.5,30.1,31,67.8,51.7,51.5,35.9,32.9,13.4,10.3,53.1,48.7,46.1,36.8,66.513,77.308,79.92,2.049,"2,026",0,0,21.321,,71.5,73.9,1.114,1.134,12.368,James Madison
200,Charleston,107.943,111.696,0.403,6–6,6,12,49.7,52.2,44.9,28.6,15.5,15.1,31.2,31.8,68.5,53.4,51.7,29.7,35.3,12.9,10.1,48,54.3,42,44.5,67.954,78.041,81.2,1.417,"2,026",0,0,13.736,,73.2,65.4,1.096,1.107,14.196,Charleston
201,South Alabama,105.336,109.199,0.398,8–4,8,12,52.1,49.1,39.8,20.6,14.9,19.1,26.4,34,66.7,54.2,51.9,32,31.6,10.8,12.4,43.3,71.1,33.7,60.6,66.141,77.398,79.619,2.43,"2,026",0,0,1.054,,67.3,74.8,1.07,1.047,9.401,South Alabama
202,Weber St.,108.516,112.608,0.395,4–7,4,11,51.6,51.6,37.3,38.5,18,16.8,33.2,29.4,71.3,52.1,56.6,33.6,28.9,5.4,11.9,49.8,48.8,32.8,37.9,69.839,76.178,79.119,1.733,"2,026",0,0,5.065,,68.8,71.9,1.075,1.084,17.669,Weber St.
203,San Diego,108.59,112.686,0.395,4–6,4,10,50.6,55.2,29,41.2,18.2,21,32.1,38.4,69.1,52.1,56,32.5,35.9,10.2,9.8,58,50.9,45.1,36.9,69.401,76.493,79.411,2.139,"2,026",0,0,23.357,,79.7,70.9,1.067,1.127,11.642,San Diego
204,Georgia Southern,109.749,113.95,0.394,8–5,8,13,50.7,51.6,42.1,40.6,14.6,20,29.4,37,73.2,52.2,54.8,32.6,31.1,8.6,11.2,40.6,44.2,47.1,39.7,72.218,77,80.114,2.47,"2,026",0,0,11.027,,71.8,70.5,1.106,1.088,8.043,Georgia Southern
205,Valparaiso,103.13,107.152,0.392,5–6,5,11,45.9,48,34.4,40.1,16,17.9,34,33.3,67.9,46.4,49.4,30.2,30.6,13.1,8.7,47,48.7,38.9,38.6,66.953,78.162,81.256,1.484,"2,026",0,0,8.256,,70.3,73.6,1.034,1.053,14.759,Valparaiso
206,San Jose St.,107.542,111.77,0.391,4–7,4,11,49.7,56.3,32.9,30.1,17.9,19.3,34.2,36.9,66.2,47.8,58.3,35.4,35.7,5,8,41.5,59.8,35.4,42.4,65.472,76.251,79.688,1.471,"2,026",0,0,26.958,,73.3,72.5,1.07,1.146,20.097,San Jose St.
207,Old Dominion,106.017,110.348,0.387,3–9,3,12,49.3,50.5,34,41.9,16.8,13.6,25.1,30.7,70.6,47.9,53.5,34.3,29.9,8.6,11.9,49.2,55.4,39,35.3,69.375,77.557,80.548,2.142,"2,026",0,0,15.365,,75.3,74.4,1.029,1.121,21.919,Old Dominion
208,Southeast Missouri St.,106.231,110.609,0.386,3–7,3,10,50.2,56.2,34.1,55.6,18.4,18.9,29.7,27.1,73.9,53.4,56.1,29.8,37.6,8.4,9,42,46.1,36.7,35.9,71.793,76.332,79.337,2.294,"2,026",0,0,9.955,,71.8,76.3,1.035,1.131,23.474,Southeast Missouri St.
209,Southern,105.579,109.961,0.385,1–8,1,9,48.3,56.1,33.4,46.2,18.6,16.3,30.1,35.1,73.8,44.8,53.6,36.9,39.8,9,10.6,42.8,57.8,32.5,40.5,72.682,76.607,79.384,2.443,"2,026",0,0,0.2,,64.6,78.3,0.995,1.213,32.553,Southern
210,Rice,105.737,110.179,0.384,4–7,4,11,46.9,51.6,38.6,37.9,18.4,17.9,33.6,34.2,68.7,42.2,51.3,36.2,34.8,10.3,11.1,47.1,52.7,39.2,34.7,66.919,76.522,79.475,2.22,"2,026",0,0,9.974,,68,72.2,1.018,1.105,16.205,Rice
211,Northeastern,103.285,107.625,0.384,4–6,4,10,50.6,52,34.2,41.8,19.1,19.6,29.7,29.9,69.9,52.5,54.2,31.4,31.7,10.8,10.1,54.4,45.6,35.9,33.5,70.561,77.696,79.906,1.332,"2,026",0,0,0.2,,70,74.1,1.034,1.061,14.503,Northeastern
212,Queens,115.119,120.031,0.382,4–7,4,11,56.2,55.7,30.2,37.5,16.6,14,32.5,37.3,70.8,58.6,55.6,35.7,37.2,7.9,8.3,56.7,54.1,48.9,40.6,69.104,78.213,80.808,1.749,"2,026",0,0,9.618,,75.7,73.4,1.169,1.237,26.976,Queens
213,Milwaukee,109.069,113.762,0.381,5–6,5,11,48.7,55.7,31.3,34.6,14,16.3,34.7,31.4,70.3,48.6,53.4,32.6,39.5,7.5,9.9,50.5,57,40.2,39.2,69.994,76.91,80.237,2.15,"2,026",0,0,12.006,,67.6,75,1.087,1.17,21.932,Milwaukee
214,Navy,103.071,107.546,0.38,6–5,6,11,48.8,49,40.9,32.7,17.7,18.5,29.8,28.2,67.8,48.7,50.3,32.7,31.4,8,10.7,56.1,50.6,32.3,39.2,68.428,74.837,78.541,2.589,"2,026",0,0,0.2,,77,72.3,1.05,1.009,13.191,Navy
215,Purdue Fort Wayne,107.883,112.625,0.379,5–6,5,11,52.4,57.3,28.2,28.3,14.8,20,23.5,35.9,71.3,55.5,56.4,32.5,39,10,8.7,49.2,56,45.7,44.4,69.784,76.323,80.296,2.102,"2,026",0,0,0.2,,71.1,78.7,1.072,1.158,23.497,Purdue Fort Wayne
216,Harvard,105.58,110.221,0.379,5–6,5,11,53.6,52.7,25.4,26.4,18.3,18.1,27.1,27.4,65.2,52.9,53.6,36.5,34.4,9.7,7.9,55.6,53.6,35,42.2,65.306,76.834,78.543,1.423,"2,026",0,0,13.111,,80.4,70.6,1.071,1.05,10.227,Harvard
217,Grambling St.,103.986,108.626,0.377,4–6,4,10,51.5,52.2,47.6,42.9,21.8,20.6,27.4,36.5,68.8,51.2,53.8,34.7,32.8,8.7,13.3,55.8,53.1,34.6,35.3,68.732,78.163,79.308,2.572,"2,026",0,0,0.321,,71.1,72.6,1.01,1.087,17.626,Grambling St.
218,Monmouth,105.487,110.246,0.376,5–7,5,12,48.8,51.6,35.3,30.3,17,18.8,31.5,32.9,67.6,47.5,50.1,34.6,36.2,13.2,11.2,55.9,55.7,31.1,36.8,67.566,78.34,80.498,1.805,"2,026",0,0,11.669,,75.3,69.2,1.045,1.073,12.932,Monmouth
219,New Orleans,107.576,112.468,0.375,3–8,3,11,49,51.8,38.1,43,21.6,13.2,32.2,34.5,70.6,47.3,53.7,34.6,32.7,10.4,12.1,55.3,63,38.3,41.1,71.458,77.782,80.851,1.772,"2,026",0,0,0.2,,73.6,72.4,1.007,1.172,32.507,New Orleans
220,Indiana St.,102.462,107.142,0.374,5–6,5,11,50.2,47.2,30.2,25.6,18.2,15,22.9,33.6,69.7,55.7,49.5,29.4,28.2,6,14.3,62.9,38.9,47.9,31.8,70.358,76.923,79.889,2.095,"2,026",0,0,0.2,,73.3,68.1,0.996,1.037,16.971,Indiana St.
221,Portland,103.722,108.585,0.371,5–5,5,10,54.5,52,35.5,32.5,21.5,18.3,26.1,30.3,74.5,58.2,53.6,31.4,33.4,10.2,6.8,65.1,62.9,33.6,47.4,71.508,78.588,81.317,1.244,"2,026",0,0,0.2,,72.2,78,1.03,1.082,15.128,Portland
222,Northern Kentucky,104.921,110.015,0.367,6–5,6,11,51.8,56.4,28.7,45.1,18.4,21.9,35.1,32.5,71,54.3,55,32.5,39,12.3,7.6,54.6,55.7,44.5,37.8,70.955,77.156,79.547,2.444,"2,026",0,0,0.2,,76.1,72.2,1.102,1.097,12.072,Northern Kentucky
223,Cal Poly,105.415,110.549,0.367,3–9,3,12,50.9,54.7,41.6,40.5,22.3,15.5,30.2,26.9,77.8,49.4,57.1,34.9,34.4,6.1,11.9,45.3,54.3,50.7,44,77.11,77.781,79.575,1.041,"2,026",0,0,0.2,,74.7,72.6,1.029,1.127,21.432,Cal Poly
224,UTEP,102.615,107.676,0.365,0–7,0,7,46.3,53,28.2,46.7,19.2,20.7,26,36.1,66.9,47.1,52.9,30,35.5,11.1,7,45,54.4,38.1,38.5,66.295,76.761,79.913,2.141,"2,026",0,0,1.997,,59.5,70.2,0.921,1.086,23.692,UTEP
225,Central Arkansas,101.951,107.093,0.362,3–8,3,11,49.5,53,28.9,30.3,18.3,17.8,25.8,28.5,71.2,51.8,58.2,31.5,31.9,4.9,10.9,57.4,61.1,50.5,50.5,70.57,76.937,79.621,1.085,"2,026",0,0,0.2,,62.2,75.1,0.985,1.078,28.505,Central Arkansas
226,Lindenwood,102.997,108.249,0.361,5–4,5,9,46.9,50.8,42.4,40.4,18.6,18,33.8,30.9,74.7,49.1,49.4,28.1,35.5,11.6,9.6,51.5,54.9,30.8,36.6,73.547,77.003,79.506,1.823,"2,026",0,0,0.2,,66.9,66.1,1.012,1.059,23.49,Lindenwood
227,Nebraska Omaha,107.949,113.491,0.36,3–7,3,10,51.8,54.4,36.4,34.9,18.2,15.2,27.2,31.8,69.1,52.1,56.8,34.2,34.4,8.4,12,48.4,61.3,41.7,46.4,68.586,77.471,80.611,2.459,"2,026",0,0,0.85,,72,75.7,1.055,1.162,18.195,Nebraska Omaha
228,LIU,105.945,111.396,0.36,6–6,6,12,53.7,52.9,35.1,35.5,20.5,18.9,34.6,37.7,71.5,52.7,54.4,37.3,33.2,12.6,11,47.4,49,29.4,32.8,71.128,77.635,79.168,2.384,"2,026",0,0,0.2,,64.3,68.2,1.064,1.116,17.347,LIU
229,Charleston Southern,104.169,109.757,0.354,5–6,5,11,52.6,47.2,27.4,39,17.3,12.2,29.3,27.8,73.6,51.4,47.6,35.8,30.9,9.6,10.2,61.5,45.8,52.7,35.2,71.78,76.777,80.112,2.303,"2,026",0,0,0.2,,69.4,68.5,1.08,1.057,11.093,Charleston Southern
230,Texas St.,101.539,107.015,0.353,6–6,6,12,47.6,51.8,34.9,38.4,20.9,20.1,35.6,28.9,67.9,47.9,49.6,31,37.1,13.1,11.2,50.8,46.5,24.7,36.4,67.149,76.65,79.545,2.007,"2,026",0,0,0.2,,75.5,70.4,1.003,1.046,8.186,Texas St.
231,Texas A&M Corpus Chris,99.238,104.674,0.351,1–6,1,7,41.4,51.7,36.7,48.8,17.5,17.3,26.9,28.1,69.5,41.2,50.6,28,35.8,7.8,16.6,55.6,63.4,32.3,35.4,68.263,76.368,79.532,2.49,"2,026",0,0,1.94,,63.3,70.3,0.892,1.073,34.568,Texas A&M Corpus Chris
232,Stony Brook,103.492,109.175,0.351,6–5,6,11,48.6,49.4,30.1,37.4,17.4,17.7,27.8,31.9,66.7,47,49.7,33.8,32.6,9.7,12.4,50.2,50.6,41.7,38.2,67.073,77.646,80.358,1.692,"2,026",0,0,3.991,,70.8,71.9,1.019,1.047,12.117,Stony Brook
233,UNC Asheville,103.977,109.746,0.35,3–8,3,11,52.4,50.7,37.7,34.8,21,14.3,26.3,33.1,68,51,52.5,36.8,31.5,6.7,6.8,40.4,48.5,32.4,34.8,66.311,78.396,81.243,1.925,"2,026",0,0,1.582,,69.7,69.4,1.014,1.104,16.435,UNC Asheville
234,American,105.644,111.599,0.347,5–5,5,10,51.3,54.7,33.1,49.3,16.7,19.9,24.8,31.4,70.7,50.2,54.5,35,36.6,4.3,10.2,46.9,49.8,46.9,34.2,70.63,76.867,78.795,1.186,"2,026",0,0,0.2,,75.9,72.7,1.065,1.099,15.909,American
235,Eastern Michigan,103.066,108.896,0.347,5–6,5,11,48.9,51.4,30.6,27.9,17.9,16.9,30.3,30,69.2,48,51.9,34,33.8,8.5,12.7,50.2,52,30.9,36,66.277,78.083,80.662,2.12,"2,026",0,0,18.058,,72.2,75.3,1.02,1.083,23.943,Eastern Michigan
236,Penn,106.162,112.211,0.346,5–5,5,10,49.7,51.7,37.2,28,17.4,15.5,31.6,31.8,70.3,45.3,54.3,38.8,32,8.5,10,56.5,52.3,34,40.2,70.806,77.736,80.809,1.925,"2,026",0,0,16.655,,70,71.6,1.055,1.105,12.522,Penn
237,Green Bay,106.965,113.151,0.344,4–7,4,11,50.6,55,46.5,41.3,16.3,12.7,22.2,28.1,65.8,51.5,59,32.9,33,7.9,10.6,53,57.3,42.1,42.4,65.174,76.942,79.201,1.648,"2,026",0,0,0.2,,71.7,71.3,1.047,1.17,21.645,Green Bay
238,Appalachian St.,102.408,108.418,0.342,6–6,6,12,49.8,47,37.3,36.2,15.9,15.5,28,33.7,64.3,51.6,49.2,31.6,29.5,9.8,7.8,50,53.6,43,44.1,63.407,76.414,79.995,1.876,"2,026",0,0,5.054,,61.2,72.8,1.03,1.067,11.448,Appalachian St.
239,Wofford,104.374,110.806,0.335,6–5,6,11,47.5,51.6,40.2,33.5,15.1,15.1,32.8,29.8,69,48.8,51.7,30.5,34.2,9,11.9,58.1,47,43.6,34.3,68.511,75.901,78.263,1.186,"2,026",0,0,0.2,,72.2,75.5,1.068,1.11,14.463,Wofford
240,Missouri St.,103.271,109.775,0.331,2–5,2,7,47.2,52.7,45.7,36.9,17.5,17.5,27.6,36.5,66.8,52.1,51.4,26.8,36.5,10.6,12,53.9,56.3,41.4,38.9,65.767,77.139,79.767,1.64,"2,026",0,0,7.701,,67.5,72.3,0.99,1.133,13.765,Missouri St.
241,Bethune Cookman,105.359,112.211,0.326,2–8,2,10,45.8,56.3,30.6,38.5,15.9,15.6,27.1,36.7,68.8,43.9,57.1,33.3,36.6,9.5,9.3,43.7,56.9,30,37.5,67.287,77.26,78.933,2.478,"2,026",0,0,0.965,,68.5,69.5,0.97,1.209,35.337,Bethune Cookman
242,Tennessee Martin,102.905,109.638,0.325,6–4,6,10,51.7,49.8,45,40.2,21.9,18.3,33.6,29.8,69,53.9,52.6,32.8,30.3,10.2,11.7,58.4,52.8,48.2,38.9,65.876,78.256,80.053,1.034,"2,026",0,0,0.2,,66.1,70.2,1.049,1.037,12.554,Tennessee Martin
243,Cal St. Fullerton,104.942,111.886,0.324,3–8,3,11,50.9,55.2,36.8,40.1,14.5,17.2,25.2,26,78.2,52.2,55.3,32.6,36.7,6.5,7.7,48,53.3,38.8,46.3,75.949,75.91,79.146,1.921,"2,026",0,0,6.189,,67.9,75.9,1.062,1.119,18.847,Cal St. Fullerton
244,Lamar,101.399,108.109,0.324,3–6,3,9,46.7,53.4,26.3,43.6,17.4,19.7,32.5,28.6,68,46,52.2,32.1,36.9,16.9,6.7,57,52,33.1,38.8,67.076,77.383,81.174,2.156,"2,026",0,0,0.2,,68.5,68.6,0.998,1.062,14.503,Lamar
245,Jacksonville St.,101.998,108.776,0.323,2–6,2,8,46.3,48.9,37.8,40.9,16.2,16.2,30.3,27,65.6,45.4,48.2,31.8,33.3,8.6,10,54.7,51.4,42.5,42.8,64.785,77.224,80.329,2.076,"2,026",0,0,0.558,,61.4,77.7,0.998,1.057,8.142,Jacksonville St.
246,Coastal Carolina,98.279,104.815,0.323,6–6,6,12,45.2,46.1,29.9,43.1,13.5,13.7,23.4,26.4,70.8,43.1,44.6,32.1,32.4,8.3,7.2,42,41,40.5,36.3,71.315,77.456,80.528,2.099,"2,026",0,0,15.238,,70.4,70.4,0.967,1.03,13.363,Coastal Carolina
247,Brown,97.709,104.222,0.323,4–7,4,11,48.3,47.9,28.1,29.4,19.3,19.1,29.6,30.9,66.2,46.7,50.5,33.9,29.2,13.1,8.8,59,50.9,37.2,39.8,67.331,76.808,79.77,1.37,"2,026",0,0,9.243,,69.1,75.9,0.987,1.007,8.871,Brown
248,Pepperdine,100.71,107.487,0.321,3–8,3,11,47.9,49.8,33.9,29.5,19.3,17,30.2,32.6,68,49.2,51.8,30.8,31.4,7.3,13.5,56.6,53.5,41.8,41.9,67.299,78.473,81.526,1.404,"2,026",0,0,29.505,,81,74.4,1.013,1.061,11.134,Pepperdine
249,Norfolk St.,98.935,105.649,0.32,3–8,3,11,45.9,50.7,37.4,43.6,18.6,17.3,30.8,31.6,68.9,45,56,32.1,29.3,8.3,12,44.4,62.2,29.1,44,67.823,76.699,79.573,2.424,"2,026",0,0,0.223,,59.5,67.5,0.953,1.073,21.827,Norfolk St.
250,Dartmouth,103.193,110.24,0.319,4–6,4,10,52.6,50.3,39.6,25,21.3,14.3,29.3,28.9,69.9,48.4,54.1,37.9,29.5,9.3,12.8,56.6,41.8,49.9,38.6,71.799,77.2,79.497,1.878,"2,026",0,0,0.2,,71.8,74.1,1.042,1.078,10.174,Dartmouth
251,UC Riverside,106.299,113.676,0.316,4–7,4,11,52.2,54.2,36.5,37.1,20.5,13.5,25.7,28.5,70.2,52.9,55,33.9,35,10.2,8.6,48.4,49.8,36.7,33.3,68.488,78.139,80.642,2.154,"2,026",0,0,0.2,,72.7,66.9,1.021,1.138,20.933,UC Riverside
252,Utah Tech,104.02,111.264,0.316,4–6,4,10,50.8,52.3,29.9,35.4,18,18.3,28.4,33.6,68.8,55.6,55.5,29.4,30.9,5.9,7.7,47.4,50,41.4,34.7,66.615,78.018,79.89,1.667,"2,026",0,0,0.2,,69.8,74.9,1.031,1.099,23.025,Utah Tech
253,Nicholls St.,103.153,110.352,0.315,2–8,2,10,50.2,57,35.4,47,16.2,20.5,25.2,32.6,70.4,49.8,57.8,33.7,37.1,6.4,10.8,50.4,57.7,42.8,35.9,70.511,77.436,80.173,2.655,"2,026",0,0,5.691,,63.1,75.6,1.015,1.148,24.791,Nicholls St.
254,North Alabama,103.651,110.89,0.315,3–6,3,9,45.1,51.6,34,33.9,16.8,13.8,31.5,34.5,66.1,43.8,52.2,31.6,33.9,13.5,12.6,43.1,60.3,33.7,45.5,67.623,77.799,79.954,1.997,"2,026",0,0,6.244,,68.2,67.6,0.988,1.139,19.657,North Alabama
255,Chattanooga,106.341,114.107,0.308,3–7,3,10,51.1,53.5,35.7,42.3,14.8,15.5,21.5,33,67,53.7,53.3,32.4,35.8,3.6,8.6,61.1,57.7,50.9,40.7,65.551,76.012,79.978,2.133,"2,026",0,0,0.2,,75.9,76.1,1.053,1.168,15.787,Chattanooga
256,Delaware,104.277,111.962,0.306,4–6,4,10,53.8,50.2,24.4,28.2,19.7,15.4,23,31,66.8,51,48.6,38.3,35.1,10.2,11.3,57.6,55.2,43.6,41.6,65.194,78.396,80.54,1.749,"2,026",0,0,16.014,,73.1,78.2,1.02,1.093,15.21,Delaware
257,USC Upstate,102.663,110.364,0.303,5–7,5,12,49.1,48.6,37.2,37.6,17.6,16,27.5,31.4,69.7,49.9,47.4,31.8,33.9,12.1,8.8,46,45,38.3,34.5,68.911,76.648,80.11,1.932,"2,026",0,0,6.711,,68.5,73.3,1.02,1.059,19.501,USC Upstate
258,Hampton,103.862,111.818,0.3,4–7,4,11,46.3,51.9,47.5,44.8,19,18.5,35.3,32,67,47.6,55.1,29.5,31.1,9.1,14.4,50.6,54.6,37.3,37.1,67.141,77.098,80.62,2.256,"2,026",0,0,9.987,,73,67.9,1.037,1.078,12.063,Hampton
