,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
32,Texas Tech,122.26,102.735,0.881,9–3,9,12,55.3,51.5,32,31.8,14.3,16.7,35,30.2,70,54.9,52,37.2,33.7,8.8,8.4,52.5,41.8,45.3,33.8,67.936,77.087,79.465,1.648,"2,026",0,0,40.65,,66.7,66.4,1.193,1.065,31.594,Texas Tech
33,LSU,120.481,101.734,0.875,10–1,10,11,57.6,47.2,43.1,29.1,15.4,15.4,33.9,28.2,70,61.6,46.1,33.5,32.5,11.3,6.9,51.2,43.2,35,40.4,68.84,78.437,81.587,2.316,"2,026",0,0,40.085,,76.8,62.8,1.237,0.99,13.265,LSU
34,Saint Louis,118.288,99.894,0.875,11–1,11,12,59.1,43.2,37.4,36.7,17.5,16.9,37.1,23.8,75,61.5,43.4,37.4,28.6,7.8,10.1,57.9,47.5,43.6,40.7,74.018,77.61,80.397,1.894,"2,026",0,0,21.914,,78.4,72,1.237,0.925,10.991,Saint Louis
35,Miami FL,117.355,99.462,0.87,11–2,11,13,58.3,47.1,36.8,32.5,16.1,20.7,39.8,28.1,72.5,59.9,44.6,36.6,33.8,11,9.9,60.1,55.2,32.5,41.9,71.635,78.476,81.355,1.581,"2,026",0,0,77.48,,66.3,64.5,1.235,0.934,15.577,Miami FL
36,Ohio St.,119.372,101.72,0.863,8–3,8,11,57,48.2,40.5,31.4,15,16.4,31.3,27.4,69.9,61.5,50.1,33.7,30.3,6,6,57.8,51.6,41.1,40.7,69.548,77.755,81.768,1.862,"2,026",0,0,62.17,,78.3,71.6,1.204,1.018,21.313,Ohio St.
37,Villanova,119.231,101.658,0.862,9–2,9,11,55.2,51.8,29.8,28,15.2,19.8,38.6,30.1,65.3,55.4,48.2,36.7,38.5,6.3,6.8,57.7,52.9,47.5,37.6,63.74,77.668,80.815,1.557,"2,026",0,0,65.693,,69.5,64,1.212,1.029,21.489,Villanova
38,USC,118.519,101.276,0.859,11–1,11,12,55.4,46.8,53.3,34.7,16.6,18.8,32.6,32.8,73.1,54.9,48.7,37.5,29.4,16.7,7.4,57.6,50,35.2,41.1,71.759,79.036,82.064,2.208,"2,026",0,0,35.009,,74.2,77.3,1.172,1.013,18.503,USC
39,Baylor,125.16,107.292,0.855,9–2,9,11,57.2,48.8,38.8,27,14.9,16.8,41.7,31.4,73,57.2,48.4,38.1,33,10.9,7.2,54.2,44.6,37.6,32.9,71.006,77.282,79.559,1.997,"2,026",0,0,48.588,,75.7,77,1.273,1.043,18.836,Baylor
40,Texas,118.979,102.561,0.847,7–4,7,11,54.2,47.3,48.7,37.4,15,15.3,37.9,24.8,70.1,56.8,45.3,33.3,34.3,7.9,7.3,46.8,45.7,38.4,33.2,68.977,78.167,81.388,2.217,"2,026",0,0,52.741,,71.8,71.3,1.205,1.008,25.225,Texas
41,Auburn,122.331,105.515,0.846,8–4,8,12,53.5,51.7,45.2,27,15.4,17.6,38.8,32.4,69.9,55.5,52.2,33.7,34,11.8,9.7,48.7,53.9,40.3,41,69.33,78.281,80.711,1.389,"2,026",0,0,46.399,,73.3,79.7,1.192,1.1,37.801,Auburn
42,Boise St.,113.813,98.198,0.845,7–3,7,10,50.2,49.5,43.2,37.9,17.6,16.2,32.4,23.1,68.7,47.9,51,35.7,31.1,3.9,10.1,51.9,44.9,40,34.5,67.358,78.791,80.892,2.056,"2,026",0,0,31.442,,75.2,69.4,1.084,1.005,27.396,Boise St.
43,Seton Hall,111.472,96.28,0.844,11–1,11,12,51.4,45.4,36.5,43.5,15.9,23.7,34.7,30.6,67.5,51.7,43.3,33.8,32.3,20.6,7.8,56,54.2,30.3,41.4,66.669,76.327,79.775,1.99,"2,026",0,0,27.166,,75,70,1.129,0.92,16.501,Seton Hall
44,Texas A&M,118.333,102.299,0.842,9–3,9,12,57.8,52,41.4,33.5,16.2,21.6,35.8,28.5,75.6,58,52.2,38.4,34.5,9,10.2,70.2,63.2,47,42.7,73.686,77.361,80.862,2.393,"2,026",0,0,29.647,,75.2,71.8,1.244,1.005,13.42,Texas A&M
45,Missouri,119.866,103.897,0.838,10–2,10,12,60.5,49.1,39.5,32.8,18.9,18.7,39.7,27.2,70.1,63.1,45.1,37.4,35.8,11.1,6.5,50.3,51.6,36.5,46.2,69.11,79.03,82.469,2.316,"2,026",0,0,62.014,,68,71.7,1.238,0.996,12.641,Missouri
46,Creighton,115.262,100.033,0.836,7–5,7,12,54.2,47.7,26,20.9,16.9,14.5,31.1,30.7,68.9,56.7,46.8,34.4,33.1,7.3,11.8,61.3,46.8,48.8,31.3,66.799,78.576,81.072,1.897,"2,026",0,0,53.736,,74.1,66.7,1.122,1.023,29.304,Creighton
47,SMU,119.106,103.74,0.83,10–2,10,12,55,49,37.5,33,15.5,19.2,35.9,31.5,73.7,57.8,51.2,33.1,30.7,10,7.2,56.7,57.8,33.2,42.3,70.092,77.886,81.73,2.125,"2,026",0,0,43.161,,76.9,72.2,1.189,1.031,20.618,SMU
48,Wisconsin,116.667,101.887,0.826,7–4,7,11,52.8,51.5,32.5,32.9,15.1,16.8,31.6,25.3,71.7,54.9,50.5,33.8,35.3,9.7,11.8,56.3,50.5,50.4,40.5,70.852,79.043,82.779,1.823,"2,026",0,0,35.978,,79.3,71.3,1.152,1.042,23.199,Wisconsin
49,VCU,115.91,101.641,0.819,8–4,8,12,54.6,47,44.3,36.4,17.2,18.9,36.3,31.8,71.7,53.7,44.3,37.1,34.9,12.2,9.6,56.3,51.2,46.8,33.1,70.402,77.797,81.084,1.71,"2,026",0,0,24.733,,72,74.1,1.192,0.999,22.306,VCU
50,UCF,120.075,105.342,0.818,10–1,10,11,56.8,49.5,32.2,37,16.7,17.9,42.8,27.9,71.4,54.7,49,40.4,33.5,9.7,8.5,55.1,51.3,35.3,44.2,69.905,78.618,81.86,2.432,"2,026",0,0,39.575,,74.6,76.5,1.241,1.042,15.837,UCF
51,Santa Clara,116.782,102.55,0.817,8–4,8,12,51.5,50.5,26,42.6,17.8,19.9,40.7,31.8,69.5,54.8,52.5,31.6,31.4,14.3,10.5,61.8,60.3,45.3,38,70.102,78.365,81.815,1.433,"2,026",0,0,20.745,,69.5,76.7,1.134,1.034,17.839,Santa Clara
52,West Virginia,111.42,97.929,0.815,8–4,8,12,52.1,46.1,43,29.2,16.2,20.6,32.8,25,65.3,51.8,43,35.1,34.5,10.2,8.9,55.4,54.1,41.7,36,64.927,76.947,80.898,2.406,"2,026",0,0,21.878,,68.4,72.9,1.13,0.913,13.121,West Virginia
53,Butler,116.028,102.081,0.813,9–3,9,12,53.3,47.8,43.4,22.3,16.3,16.1,38.6,30.6,72,53.2,48.4,35.6,31.1,9.3,13.4,56.3,48.3,36.6,32,70.646,78.05,80.93,1.809,"2,026",0,0,48.205,,67.5,72.1,1.16,1.018,23.837,Butler
54,San Diego St.,113.305,99.973,0.808,6–4,6,10,52.6,50.3,35.9,36.9,18.8,21.2,32.4,34.4,69.4,49.7,49.3,38.7,34.3,15.7,6.5,59.4,57.6,34.6,47.2,68.565,78.286,81.048,1.731,"2,026",0,0,49.711,,75.5,72,1.097,1.036,26.414,San Diego St.
55,Wake Forest,114.344,101.396,0.799,9–4,9,13,52.8,50,37.6,36.9,16.4,21.3,34.4,31.5,72.8,54.7,54.3,33.5,30.3,12.5,8,54.7,60.6,42.9,48.6,70.981,77.895,80.006,2.054,"2,026",0,0,35.42,,75.8,72.6,1.141,1.011,22.101,Wake Forest
56,Washington,114.484,101.55,0.799,7–4,7,11,50.2,47.3,38,36.1,15.5,15.5,38.8,27.2,70.7,50,47.3,33.8,31.6,10.9,11.1,48.7,49.8,32.3,37,68.737,77.477,81.448,1.438,"2,026",0,0,76.202,,76.1,71.4,1.147,1.01,22.582,Washington
57,TCU,110.81,98.322,0.798,9–3,9,12,51.3,48.2,37.8,28.4,16.2,21.9,34,26.4,69.2,53,47.3,32.4,33.1,15.5,8.4,56.2,63.8,38.5,39.3,67.817,76.298,79.114,1.757,"2,026",0,0,53.011,,72.6,69.5,1.107,0.926,18.435,TCU
58,Oklahoma,118.878,105.709,0.794,8–3,8,11,54,49.5,34.2,29.7,13.6,16.4,35.1,29.8,70.8,57.3,45.6,33.4,37,10.7,9.6,54.8,54.5,46.7,39.1,67.562,77.222,81.249,2.14,"2,026",0,0,55.949,,73,73.6,1.202,1.05,22.873,Oklahoma
59,Akron,123.349,109.731,0.793,8–3,8,11,60.8,52.2,31.5,31.1,13.5,18.4,35.2,34.1,73.2,60.7,51.7,40.6,35.2,8.4,9.1,58.2,52.9,40.3,43.6,73.042,75.519,78.563,2.37,"2,026",0,0,12.521,,75.1,72.4,1.289,1.097,15.532,Akron
60,Kansas St.,117.802,104.846,0.792,8–4,8,12,58.2,49.6,31.1,32.4,17.5,17.7,35.1,30.5,74.3,55.6,50,41.2,32.7,12.1,8.8,60.8,55.6,41.7,40.6,73.679,77.641,80.761,2.141,"2,026",0,0,33.017,,71.3,72.1,1.185,1.037,22.361,Kansas St.
61,California,113.504,101.212,0.789,11–1,11,12,56.4,45.7,39.5,30.9,15.1,18.5,28.9,29.8,69.5,54.2,46.3,39.6,29.8,11.6,8.7,57.2,54.5,41.4,37.2,68.399,77.415,80.781,2.317,"2,026",0,0,60.127,,77.2,65.9,1.183,0.954,11.34,California
