rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
11,Michigan St.,B10,9-1,118.22098533995525,44,92.75838045979062,3,0.9421009872242174,11,23.90598765245681,7.094012347543196,14.023976295557482,5.976023704442515,2-0,0.6500020789790109,0.6091128399606625,0.8135590350524047,0.7270122137788045,0.5615551812652544,0.8180135816612571,0.6455233272120678,0.7845075572829712,113.30912454031777,104.57232329273945,116.05888670722175,103.17828608710107,120.13034332713532,88.88711075120534,121.70495700625739,86.89909243243861,0.9796437228643069,5.0,0.10008403971007773,147.0,124.0,127.6,1.152037617554859,0.9717868338557994,0.8185085312844631,1.0,2.826552266608644,8,54,66.1121466928473
12,Alabama,SEC,7-3,127.15785706219935,2,100.59729126390344,45,0.9367010505582677,12,21.807722789065444,9.19227721093456,12.09864413295931,5.90135586704069,0-0,0.7089533213774181,0.7089533213774181,0,0.7808507449265624,0.6959301310912293,0.842182299363192,0.6123340434002779,0.665136338604683,115.13696135877721,102.26717796018059,117.16343937101598,102.193696397379,0.0,0.0,129.14386769582913,103.53600988247602,0.927006282713133,6.0,0.011967957722014422,0.0,0.0,0.0,0,0,0.842182299363192,0,1.819446938103614,15,160,74.16600488282964
13,Illinois,B10,8-3,126.00323279860544,6,99.91353894424512,41,0.935113429862546,13,21.832978016582626,9.167021983417373,13.127731331570866,6.872268668429136,1-1,0.6421005595265066,0.5866355828166281,0.89169295472096,0.7294384341725632,0.588779694025529,0.8068007412534317,0.6414660305517816,0.7433661081007127,113.3574478713967,104.30722042426368,115.5489293763588,102.68035424100033,135.14376488323106,112.61082306047533,124.405808065315,101.98892563636768,0.9076164777082749,6.0,-0.031990681597032666,168.0,163.0,132.7375,1.2656558998022411,1.227987569450984,0.7973682730903731,0.5,1.2967086404415304,22,220,68.0723523942864
14,St. John's,BE,6-3,121.00162673113209,22,96.2285245402674,13,0.9330428880836681,14,22.82847154596042,8.171528454039588,15.241337780248053,4.758662219751948,0-0,0.6587264347208288,0.6587264347208288,0,0.7191576870522638,0.6458221354134135,0.7594922404536314,0.7060466134496217,0.7383533755752562,113.63771186479731,104.78372388643743,114.15081808351792,103.37270407607663,0.0,0.0,128.38036048205058,104.8338400121452,0.9113425873109962,4.0,-0.13210803267804505,0.0,0.0,0.0,0,0,0.7594922404536314,0,0.162025142914139,56,341,71.7411431982178
15,BYU,B12,9-1,122.80152154237754,11,97.75319310716044,21,0.9323537718855431,15,23.92722921414923,7.0727707858507785,12.029571419741332,5.97042858025867,0-0,0.6454053269872619,0.6454053269872619,0,0.7257823141679938,0.5851869492503127,0.8273234110529858,0.6626090544866928,0.7705903283011005,112.32391824845777,104.57679481621453,114.41749564696843,102.66825746844528,0.0,0.0,119.69033356171272,93.49092591423116,0.9448515882459292,5.0,0.11948706372727269,0.0,0.0,0.0,0,0,0.8273234110529858,0,2.7962296546814334,9,37,69.89845675939836
16,Florida,SEC,6-4,118.46741735709082,41,94.59691922463028,10,0.9300625211635283,16,20.783217330948055,10.21678266905195,11.846046171126543,6.153953828873457,0-0,0.6991032518099847,0.6991032518099847,0,0.7414518251059208,0.5962036453528824,0.8463532882608934,0.6338061970896257,0.7135627896840926,114.67640968055689,103.15395511123322,115.8075547822103,103.00365334745017,0.0,0.0,119.61413819747396,93.26703136953287,0.9458973136097091,4.0,-0.09531939726738448,0.0,0.0,0.0,0,0,0.8463532882608934,0,0.5491322357953856,46,315,71.20106807680945
17,Kansas,B12,8-3,116.93683385630985,55,93.40189957163452,5,0.9298446578301671,17,21.47819488351653,9.521805116483476,11.585818796062908,6.4141812039370905,0-0,0.7087805615260152,0.7087805615260152,0,0.7702715961308237,0.6753393160716935,0.838833798395751,0.612068473341799,0.6761841899480275,113.9851608889539,101.86447263297946,115.68896991530814,101.16438420216436,0.0,0.0,117.16925246492406,96.82180451709966,0.8996727370680967,5.0,0.032456599943647246,0.0,0.0,0.0,0,0,0.838833798395751,0,2.124458607650288,12,132,66.8323221604557
18,Tennessee,SEC,7-3,119.63680215667107,32,96.11152470080617,12,0.9253899240979357,18,20.555078245152526,10.444921754847469,10.996588595161958,7.003411404838042,0-0,0.5548943777614707,0.5548943777614707,0,0.7124637081890883,0.5079759519294262,0.8601493099321774,0.634753433203746,0.7581269279159524,109.97051526021156,105.37847248540928,115.2820582512745,103.50595194923406,0.0,0.0,120.84290063132772,100.68204796163533,0.8908083059530223,4.0,-0.07485243963306376,0.0,0.0,0.0,0,0,0.8601493099321774,0,0.3093964786541015,52,281,68.32268368960503
19,Indiana,B10,8-3,119.96732200864619,28,96.64623274624779,14,0.9231449347313597,19,20.679829614156272,10.320170385843722,11.74963054961944,8.250369450380562,1-1,0.5511897544003846,0.5220200310286507,0.6824535095731876,0.7052558913466458,0.4852764723539799,0.8262445717926117,0.6590245914745128,0.826809833172562,110.84046018659038,107.36267382542411,114.98086856099015,103.31255610928844,128.20801017380268,98.38796790285556,108.64365861859451,97.88456236016233,0.7683951871323029,2.0,-0.09842658947263094,177.0,145.0,139.45,1.2692721405521694,1.0397992111868053,0.8422213564836588,0.5,0.029981623733303542,60,317,69.12364031794371
20,Iowa,B10,9-2,121.47579152514547,19,97.94755895073365,22,0.922424358419926,20,22.19331271197556,8.806687288024438,12.232790336986639,7.767209663013359,1-1,0.5325705306898135,0.4823939943004747,0.7583649444418378,0.6859222102888052,0.4328124393255411,0.8251325843186006,0.6674977089744044,0.8492239840737504,108.84530007892313,106.37155608637978,113.99148152851299,103.63750961501725,113.16069923180808,98.06022852098167,112.54336098938441,99.85903356307128,0.7982124034619672,2.0,0.016467515463100435,135.0,135.0,128.85,1.0477299185098952,1.0477299185098952,0.8325512109715743,0.5,1.1468783837479006,27,148,63.91436845734226
